-3321.3,0
-707.34,0
4630.2,0
-5.6681e-13,-3.1745e-05
-64.722,0
3369.8,0
-3606.9,0
739.08,0
6036.5,0
8.299e-12,-2.747e-05
32.982,0
1963.5,0
-9.006e-13,-1.0476e-05
8.2744e-13,2.3711e-05
7.1893e-12,-7.5303e-05
-7.6861e-12,-2.0952e-05
1.9329e-12,1.5395e-05
-1.6771e-11,-7.1729e-05
-3.3949e-12,-1.2457e-05
-1.3876e-11,2.3711e-05
-7.0017e-12,-7.2335e-05
-7.2598e-12,-2.1284e-05
-2.3235e-12,1.6151e-05
1.1076e-11,-5.8164e-05
1.0893e-11,-2.1018e-05
3.678e-12,2.6518e-05
-6000,-7.5303e-05
3464.1,-6.9432e-06
1.7986e-12,3.061e-05
-2000,-7.1269e-05
3.7772e-12,-1.5632e-05
1.4312e-12,2.5214e-05
-6000,-7.2412e-05
3464.1,-3.235e-06
-1.7986e-12,3.061e-05
-2000,-5.8232e-05
